|Zugeordnete W̦rter|Daraus Bezeichnungen|Reinheit
Cluster 0|9|2|22.2
Cluster 1|4|0|0.0
Cluster 10|19|8|42.1
Cluster 11|1|0|0.0
Cluster 12|24|20|83.3
Cluster 13|13|13|100.0
Cluster 14|2|0|0.0
Cluster 15|16|10|62.5
Cluster 16|7|6|85.7
Cluster 17|10|3|30.0
Cluster 18|2|0|0.0
Cluster 19|10|3|30.0
Cluster 2|10|6|60.0
Cluster 20|6|0|0.0
Cluster 21|26|12|46.2
Cluster 22|2|0|0.0
Cluster 23|12|2|16.7
Cluster 24|3|2|66.7
Cluster 25|1|0|0.0
Cluster 26|9|5|55.6
Cluster 27|14|8|57.1
Cluster 28|16|12|75.0
Cluster 29|2|1|50.0
Cluster 3|16|10|62.5
Cluster 30|4|0|0.0
Cluster 31|8|4|50.0
Cluster 32|21|7|33.3
Cluster 33|17|9|52.9
Cluster 34|2|0|0.0
Cluster 35|2|0|0.0
Cluster 36|1|0|0.0
Cluster 37|4|0|0.0
Cluster 38|5|0|0.0
Cluster 39|3|3|100.0
Cluster 4|1|0|0.0
Cluster 40|2|0|0.0
Cluster 41|2|0|0.0
Cluster 42|20|8|40.0
Cluster 43|27|14|51.9
Cluster 44|4|3|75.0
Cluster 45|9|6|66.7
Cluster 46|5|1|20.0
Cluster 47|4|1|25.0
Cluster 48|1|0|0.0
Cluster 49|21|8|38.1
Cluster 5|13|9|69.2
Cluster 6|5|2|40.0
Cluster 7|5|3|60.0
Cluster 8|4|0|0.0
Cluster 9|23|9|39.1
